scope,day_of_week,hour,within_ad_schedule,scheduled_window,Impressions,Clicks,Cost,Conversions
LeadsSearch1_alldays_last60d,Thursday,10,yes,07:00-20:00,169,4,6.69,0.0
LeadsSearch1_alldays_last60d,Thursday,11,yes,07:00-20:00,153,3,4.39,0.0
LeadsSearch1_alldays_last60d,Thursday,12,yes,07:00-20:00,179,5,13.4835,1.0
LeadsSearch1_alldays_last60d,Thursday,13,yes,07:00-20:00,212,8,13.5399,0.0
LeadsSearch1_alldays_last60d,Thursday,14,yes,07:00-20:00,213,4,5.7481,1.0
LeadsSearch1_alldays_last60d,Thursday,15,yes,07:00-20:00,279,8,14.1871,0.0
LeadsSearch1_alldays_last60d,Thursday,16,yes,07:00-20:00,116,9,19.5384,0.0
LeadsSearch1_alldays_last60d,Thursday,17,yes,07:00-20:00,71,5,12.4372,0.0
LeadsSearch1_alldays_last60d,Thursday,18,yes,07:00-20:00,36,2,5.0547,0.0
LeadsSearch1_alldays_last60d,Thursday,19,yes,07:00-20:00,29,2,5.17,1.0
LeadsSearch1_alldays_last60d,Thursday,20,NO,07:00-20:00,17,2,9.7197,0.0
LeadsSearch1_alldays_last60d,Thursday,21,NO,07:00-20:00,7,1,2.9,0.0
LeadsSearch1_alldays_last60d,Friday,00,NO,07:00-20:00,27,3,5.86,0.0
LeadsSearch1_alldays_last60d,Friday,01,NO,07:00-20:00,32,4,20.3589,0.0
LeadsSearch1_alldays_last60d,Friday,02,NO,07:00-20:00,16,2,4.51,0.0
LeadsSearch1_alldays_last60d,Friday,03,NO,07:00-20:00,11,2,5.78,0.0
LeadsSearch1_alldays_last60d,Friday,04,NO,07:00-20:00,17,2,2.43,0.0
LeadsSearch1_alldays_last60d,Friday,05,NO,07:00-20:00,15,0,0.0,0.0
LeadsSearch1_alldays_last60d,Friday,06,NO,07:00-20:00,35,4,8.53,0.0
LeadsSearch1_alldays_last60d,Friday,07,yes,07:00-20:00,106,5,12.3,0.0
LeadsSearch1_alldays_last60d,Friday,08,yes,07:00-20:00,108,7,13.34,0.0
LeadsSearch1_alldays_last60d,Friday,09,yes,07:00-20:00,161,4,9.79,0.0
LeadsSearch1_alldays_last60d,Friday,10,yes,07:00-20:00,143,6,12.301,0.0
LeadsSearch1_alldays_last60d,Friday,11,yes,07:00-20:00,183,11,22.99,0.0
LeadsSearch1_alldays_last60d,Friday,12,yes,07:00-20:00,142,8,19.8981,1.0
LeadsSearch1_alldays_last60d,Friday,13,yes,07:00-20:00,104,1,2.43,0.0
LeadsSearch1_alldays_last60d,Friday,14,yes,07:00-20:00,122,5,10.0,1.0
LeadsSearch1_alldays_last60d,Friday,15,yes,07:00-20:00,62,5,12.67,0.0
LeadsSearch1_alldays_last60d,Friday,16,yes,07:00-20:00,31,0,0.0,0.0
LeadsSearch1_alldays_last60d,Friday,17,yes,07:00-20:00,59,4,7.84,0.0
LeadsSearch1_alldays_last60d,Friday,18,yes,07:00-20:00,31,1,1.18,0.0
LeadsSearch1_alldays_last60d,Friday,19,yes,07:00-20:00,49,5,8.7189,0.0
LeadsSearch1_alldays_last60d,Friday,20,NO,07:00-20:00,34,5,7.9505,0.0
LeadsSearch1_alldays_last60d,Friday,21,NO,07:00-20:00,1,0,0.0,0.0
LeadsSearch1_alldays_last60d,Friday,22,NO,07:00-20:00,23,0,0.0,0.0
LeadsSearch1_alldays_last60d,Friday,23,NO,07:00-20:00,20,1,2.32,0.0
LeadsSearch1_alldays_last60d,Saturday,00,NO,07:00-14:00,101,4,14.76,2.0
LeadsSearch1_alldays_last60d,Saturday,01,NO,07:00-14:00,27,2,1.6962,1.0
LeadsSearch1_alldays_last60d,Saturday,02,NO,07:00-14:00,42,1,0.15,0.0
LeadsSearch1_alldays_last60d,Saturday,03,NO,07:00-14:00,15,1,2.32,0.0
LeadsSearch1_alldays_last60d,Saturday,04,NO,07:00-14:00,21,2,4.35,1.0
LeadsSearch1_alldays_last60d,Saturday,05,NO,07:00-14:00,26,1,0.39,1.0
LeadsSearch1_alldays_last60d,Saturday,06,NO,07:00-14:00,55,4,10.0881,2.0
LeadsSearch1_alldays_last60d,Saturday,07,yes,07:00-14:00,145,5,11.08,1.0
LeadsSearch1_alldays_last60d,Saturday,08,yes,07:00-14:00,146,13,26.8255,2.0
LeadsSearch1_alldays_last60d,Saturday,09,yes,07:00-14:00,155,8,13.3733,1.0
LeadsSearch1_alldays_last60d,Saturday,10,yes,07:00-14:00,204,11,31.4887,2.0
LeadsSearch1_alldays_last60d,Saturday,11,yes,07:00-14:00,193,9,16.61,1.0
LeadsSearch1_alldays_last60d,Saturday,12,yes,07:00-14:00,228,9,16.143,0.0
LeadsSearch1_alldays_last60d,Saturday,13,yes,07:00-14:00,97,4,12.69,0.0
LeadsSearch1_alldays_last60d,Saturday,14,NO,07:00-14:00,43,3,7.32,0.0
LeadsSearch1_alldays_last60d,Saturday,15,NO,07:00-14:00,49,1,1.55,0.0
LeadsSearch1_alldays_last60d,Saturday,16,NO,07:00-14:00,25,3,6.48,0.0
LeadsSearch1_alldays_last60d,Saturday,17,NO,07:00-14:00,23,1,1.15,0.0
LeadsSearch1_alldays_last60d,Saturday,18,NO,07:00-14:00,21,0,0.0,0.0
LeadsSearch1_alldays_last60d,Saturday,19,NO,07:00-14:00,34,3,4.6,0.0
LeadsSearch1_alldays_last60d,Saturday,20,NO,07:00-14:00,32,1,1.23,0.0
LeadsSearch1_alldays_last60d,Saturday,21,NO,07:00-14:00,11,1,0.87,2.0
LeadsSearch1_alldays_last60d,Saturday,22,NO,07:00-14:00,16,0,0.0,0.0
LeadsSearch1_alldays_last60d,Sunday,00,NO,08:00-20:00,50,4,6.9,0.0
LeadsSearch1_alldays_last60d,Sunday,01,NO,08:00-20:00,32,2,10.16,0.0
LeadsSearch1_alldays_last60d,Sunday,02,NO,08:00-20:00,25,3,14.6429,0.0
LeadsSearch1_alldays_last60d,Sunday,03,NO,08:00-20:00,15,2,4.63,0.0
LeadsSearch1_alldays_last60d,Sunday,04,NO,08:00-20:00,15,1,1.36,0.0
LeadsSearch1_alldays_last60d,Sunday,05,NO,08:00-20:00,23,0,0.0,0.0
LeadsSearch1_alldays_last60d,Sunday,06,NO,08:00-20:00,30,2,8.8511,0.0
LeadsSearch1_alldays_last60d,Sunday,07,NO,08:00-20:00,46,4,13.2678,0.0
LeadsSearch1_alldays_last60d,Sunday,08,yes,08:00-20:00,95,6,12.06,1.0
LeadsSearch1_alldays_last60d,Sunday,09,yes,08:00-20:00,109,5,8.5938,2.0
LeadsSearch1_alldays_last60d,Sunday,10,yes,08:00-20:00,98,7,26.35,0.0
LeadsSearch1_alldays_last60d,Sunday,11,yes,08:00-20:00,45,4,8.7205,0.0
LeadsSearch1_alldays_last60d,Sunday,12,yes,08:00-20:00,81,3,3.82,0.0
LeadsSearch1_alldays_last60d,Sunday,13,yes,08:00-20:00,95,2,8.46,0.0
LeadsSearch1_alldays_last60d,Sunday,14,yes,08:00-20:00,54,4,9.65,0.0
LeadsSearch1_alldays_last60d,Sunday,15,yes,08:00-20:00,47,4,9.35,0.0
LeadsSearch1_alldays_last60d,Sunday,16,yes,08:00-20:00,57,6,12.0936,0.0
LeadsSearch1_alldays_last60d,Sunday,17,yes,08:00-20:00,28,0,0.0,0.0
LeadsSearch1_alldays_last60d,Sunday,18,yes,08:00-20:00,41,5,9.71,2.0
LeadsSearch1_alldays_last60d,Sunday,19,yes,08:00-20:00,51,1,2.29,0.0
