Date,Campaignname,CampaignID,Campaignstatus,ConversionTrackerId,ConversionTypeName,ConversionCategory,ExternalConversionSource,Conversions,conversionsByConversionDate,EstimatedTotalConversions,allConversionsByConversionDate,ConversionValue,EstimatedTotalConversionValue,allConversionsValueByConversionDate,Viewthroughconversions,EstimatedCrossDeviceConversions
2025-07-05,Campaign #1,22625352639,paused,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,94.5,128,94.5,128,94.5,94.5,128,0,0
2025-07-05,Campaign #1,22625352639,paused,7154049482,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,Website,2,7,2,7,2,2,7,0,0
2025-07-05,Campaign #1,22625352639,paused,7154049485,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,Website,3,6,3,6,3,3,6,0,0
2025-07-05,Campaign #1,22625352639,paused,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,145,214,155,214,145,155,214,0,0
2025-07-06,Campaign #1,22625352639,paused,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,159,120,159,120,159,159,120,0,0
2025-07-06,Campaign #1,22625352639,paused,7154049482,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,Website,10,10,14,10,10,14,10,0,0
2025-07-06,Campaign #1,22625352639,paused,7154049485,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,Website,4,4,5,4,4,5,4,0,0
2025-07-06,Campaign #1,22625352639,paused,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,204.73,204,242.73,204,204.73,242.73,204,0,0
2025-07-07,Campaign #1,22625352639,paused,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,34,64,34,64,34,34,64,0,0
2025-07-07,Campaign #1,22625352639,paused,7154049482,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,Website,4,4,4,8,4,4,8,0,0
2025-07-07,Campaign #1,22625352639,paused,7154049485,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,Website,1,1,1,1,1,1,1,0,0
2025-07-07,Campaign #1,22625352639,paused,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,10,23,35,71,10,35,71,0,0
2025-07-08,Campaign #1,22625352639,paused,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,17,28,17,28,17,17,28,0,0
2025-07-08,Campaign #1,22625352639,paused,7154049482,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,Website,0,0,1,1,0,1,1,0,0
