Campaignname,Adgroupname,Searchterm,Keyword,Matchtype,QueryTargetingStatus,Impressions,Clicks,Cost,Ctr,CPC,Conversions,ConversionRate,CostPerConversion
Leads-Search-1,Ad group 1,chronic fatigue syndrome specialist near me,naturopathic doctor near me,broad,None,2,1,1.43,0.5,1.43,0,0,
Leads-Search-1,Ad group 1,colon cleansing near me,integrative medicine near me,broad,Excluded,2,1,2.07,0.5,2.07,0,0,
Leads-Search-1,Ad group 1,cupping near me,holistic dr near me,broad,Excluded,2,1,3.63,0.5,3.63,0,0,
Leads-Search-1,Ad group 1,dr joanne conaway,holistic dr near me,broad,None,2,1,2.62,0.5,2.62,0,0,
Leads-Search-1,Ad group 1,family doctor minneapolis,natural medicine Minnesota,broad,None,2,1,3.3406,0.5,3.3406,0,0,
Leads-Search-1,Ad group 1,family medicine minneapolis,naturopathic doctor near me,broad,None,2,1,3.4424,0.5,3.4424,0,0,
Leads-Search-1,Ad group 1,function doctors,naturopathic doctor near me,broad,None,2,2,3.84,1,1.92,1,0.5,3.84
Leads-Search-1,Ad group 1,functional health near me,naturopathic doctor near me,broad,None,2,1,2.84,0.5,2.84,0,0,
Leads-Search-1,Ad group 1,functional medical doctor near me,holistic dr near me,broad,None,2,2,4.64,1,2.32,0,0,
Leads-Search-1,Ad group 1,functional medicine doctor minneapolis mn,integrative medicine near me,broad,None,2,1,2.32,0.5,2.32,1,1,2.32
Leads-Search-1,Ad group 1,functional medicine doctor near me takes insurance,holistic dr near me,broad,None,2,1,4.196,0.5,4.196,0,0,
Leads-Search-1,Ad group 1,functional medicine doctors minneapolis,integrative medicine near me,broad,None,2,1,2.87,0.5,2.87,0,0,
Leads-Search-1,Ad group 1,functional medicine doctors near me,naturopathic doctor near me,broad,Added,2,2,8.1,1,4.05,0,0,
Leads-Search-1,Ad group 1,functional medicine endocrinology,naturopathic doctor near me,broad,None,2,1,1.67,0.5,1.67,0,0,
Leads-Search-1,Ad group 1,functional medicine mankato mn,naturopathic doctor near me,broad,None,2,1,1.37,0.5,1.37,0,0,
Leads-Search-1,Ad group 1,functional medicine menopause near me,integrative medicine near me,phrase (close variant),None,2,1,2.08,0.5,2.08,0,0,
Leads-Search-1,Ad group 1,functional medicine providers near me,holistic dr near me,broad,None,2,1,3.9,0.5,3.9,0,0,
Leads-Search-1,Ad group 1,healing touch near me,holistic dr near me,broad,None,2,1,1.34,0.5,1.34,0,0,
Leads-Search-1,Ad group 1,health partners naturopath,integrative medicine near me,broad,None,2,1,2.79,0.5,2.79,0,0,
Leads-Search-1,Ad group 1,health treatments,integrative medicine near me,broad,None,2,1,0.09,0.5,0.09,0,0,
Leads-Search-1,Ad group 1,healthpartners maple grove,naturopathic doctor near me,broad,None,2,2,7.97,1,3.985,0,0,
Leads-Search-1,Ad group 1,holistic cardiologist,integrative medicine near me,broad,None,2,1,1.84,0.5,1.84,0,0,
Leads-Search-1,Ad group 1,holistic chiropractors,holistic dr near me,broad,None,2,1,4.8639,0.5,4.8639,0,0,
Leads-Search-1,Ad group 1,holistic dermatologist,naturopathic doctor near me,broad,None,2,1,1.38,0.5,1.38,0,0,
Leads-Search-1,Ad group 1,holistic endometriosis specialist near me,holistic dr near me,phrase (close variant),None,2,1,2.95,0.5,2.95,0,0,
Leads-Search-1,Ad group 1,holistic health,naturopathic doctor near me,broad,None,2,1,2.21,0.5,2.21,0,0,
Leads-Search-1,Ad group 1,holistic men's health near me,naturopathic doctor near me,phrase (close variant),None,2,1,2.07,0.5,2.07,0,0,
Leads-Search-1,Ad group 1,holistic nurse practitioner near me,integrative medicine near me,phrase (close variant),None,2,1,2.37,0.5,2.37,0,0,
Leads-Search-1,Ad group 1,holistic pediatrician vaccines,holistic dr near me,broad,None,2,1,2.577,0.5,2.577,0,0,
Leads-Search-1,Ad group 1,holistic psychiatric nurse practitioner,holistic dr near me,broad,None,2,1,2.3271,0.5,2.3271,0,0,
Leads-Search-1,Ad group 1,homeopathic doctor mn,naturopathic doctor near me,broad,None,2,1,4.22,0.5,4.22,0,0,
Leads-Search-1,Ad group 1,homeopathic health,naturopathic doctor near me,broad,None,2,1,2.57,0.5,2.57,0,0,
Leads-Search-1,Ad group 1,homeopathic oncologist near me,naturopathic doctor near me,phrase (close variant),None,2,1,1.9,0.5,1.9,0,0,
Leads-Search-1,Ad group 1,homeopathic treatments,holistic dr near me,broad,None,2,1,0.5,0.5,0.5,0,0,
Leads-Search-1,Ad group 1,homeopathy minneapolis,integrative medicine near me,broad,None,2,1,2.7577,0.5,2.7577,0,0,
Leads-Search-1,Ad group 1,hormone and gut health practitioner near me,holistic dr near me,phrase (close variant),None,2,1,3.53,0.5,3.53,0,0,
Leads-Search-1,Ad group 1,hormone replacement therapy near me,holistic dr near me,broad,None,2,1,1.77,0.5,1.77,0,0,
