Yearmonth,Campaignname,Adgroupname,AdgroupID,Adgroupstatus,Keyword,KeywordID,Matchtype,Keywordstatus,HistoricalSearchPredictedCtr,HistoricalCreativeQualityScore,HistoricalLandingPageQualityScore,HistoricalQualityScore,HistoricalSearchPredictedCtr_metric,HistoricalCreativeQualityScore_metric,HistoricalLandingPageQualityScore_metric,Impressions,Clicks,Cost,Conversions
2026|06,Leads-Search-1,Ad group 1,183759893484,removed,natural doctor near me,301055025575,Phrase,enabled,Below average,Below average,Above average,,-1,-1,2,0,0,0,0
2026|06,Leads-Search-1,Ad group 1,183759893484,removed,naturopathic doctor Minneapolis,2431240508378,Phrase,enabled,Below average,Below average,Above average,,-1,-1,2,0,0,0,0
2026|06,Leads-Search-1,Ad group 1,183759893484,removed,naturopathic doctor Minneapolis,2457285929674,Broad,enabled,Below average,Below average,Above average,,-1,-1,2,0,0,0,0
2026|06,Leads-Search-1,Ad group 1,183759893484,removed,naturopathic doctor near me,44833314052,Exact,enabled,Below average,Average,Above average,,-1,1,2,0,0,0,0
2026|06,Leads-Search-1,Ad group 1,183759893484,removed,naturopathic doctor near me,296621012791,Broad,enabled,Below average,Average,Above average,6,-1,1,2,5,0,0,0
2026|06,PNHdefense-Website traffic-Search-2,Ad group 1,196283052145,enabled,panka health,891630859085,Exact,enabled,Above average,Above average,Above average,10,2,2,2,19,5,14.5492,0
2026|06,PNHdefense-Website traffic-Search-2,Ad group 1,196283052145,enabled,panka natural health,700161616745,Phrase,enabled,Average,Above average,Above average,8,1,2,2,17,4,30.47,0
2026|06,PNHdefense-Website traffic-Search-2,Ad group 1,196283052145,enabled,panka natural health,817739186789,Exact,removed,Average,Above average,Above average,8,1,2,2,182,17,32.3971,17
2026|07,PNHdefense-Website traffic-Search-2,Ad group 1,196283052145,enabled,dr haley panka,2484456293679,Exact,enabled,Above average,Average,Above average,9,2,1,2,5,2,2.93,0
2026|07,PNHdefense-Website traffic-Search-2,Ad group 1,196283052145,enabled,dr panka,933585970059,Exact,enabled,Average,Below average,Above average,,1,-1,2,0,0,0,0
2026|07,Leads-Search-1,Ad group 1,183759893484,removed,functional medicine,10957761,Broad,enabled,Below average,Below average,Average,,-1,-1,1,0,0,0,0
2026|07,Leads-Search-1,Ad group 1,183759893484,removed,functional medicine clinic near me,629327041832,Broad,enabled,Below average,Average,Average,,-1,1,1,0,0,0,0
2026|07,Leads-Search-1,Ad group 1,183759893484,removed,functional medicine near me,325505212743,Broad,enabled,Below average,Below average,Average,,-1,-1,1,0,0,0,0
2026|07,PNHdefense-Website traffic-Search-2,Ad group 1,196283052145,enabled,haley panka,584357309429,Phrase,enabled,Above average,Average,Above average,9,2,1,2,12,3,12.47,0
2026|07,Leads-Search-1,Ad group 1,183759893484,removed,integrative health near me,807046778385,Broad,enabled,Below average,Below average,Average,,-1,-1,1,0,0,0,0
2026|07,Leads-Search-1,Ad group 1,183759893484,removed,integrative medicine near me,312654897788,Broad,enabled,Below average,Below average,Average,,-1,-1,1,0,0,0,0
2026|07,Leads-Search-1,Ad group 1,183759893484,removed,integrative medicine near me,312654900388,Phrase,enabled,Below average,Below average,Average,,-1,-1,1,0,0,0,0
2026|07,PNHdefense-Website traffic-Search-2,Ad group 1,196283052145,enabled,jacob panka,569752648940,Phrase,enabled,,,,0,,,,5,2,2.7,2.01
2026|07,Leads-Search-1,Ad group 1,183759893484,removed,natural doctor near me,298794213593,Broad,enabled,Below average,Below average,Above average,,-1,-1,2,0,0,0,0
2026|07,Leads-Search-1,Ad group 1,183759893484,removed,natural doctor near me,301055025575,Phrase,enabled,Below average,Below average,Above average,,-1,-1,2,0,0,0,0
2026|07,Leads-Search-1,Ad group 1,183759893484,removed,naturopathic doctor Minneapolis,2431240508378,Phrase,enabled,Below average,Below average,Above average,,-1,-1,2,0,0,0,0
2026|07,Leads-Search-1,Ad group 1,183759893484,removed,naturopathic doctor Minneapolis,2457285929674,Broad,enabled,Below average,Below average,Above average,,-1,-1,2,0,0,0,0
2026|07,Leads-Search-1,Ad group 1,183759893484,removed,naturopathic doctor near me,44833314052,Exact,enabled,Below average,Average,Above average,,-1,1,2,0,0,0,0
2026|07,Leads-Search-1,Ad group 1,183759893484,removed,naturopathic doctor near me,296621012791,Broad,enabled,Below average,Average,Above average,,-1,1,2,0,0,0,0
2026|07,PNHdefense-Website traffic-Search-2,Ad group 1,196283052145,enabled,panka health,891630859085,Exact,enabled,Above average,Above average,Above average,10,2,2,2,11,4,7.13,1.2
2026|07,PNHdefense-Website traffic-Search-2,Ad group 1,196283052145,enabled,panka natural health,700161616745,Phrase,enabled,Above average,Above average,Above average,10,2,2,2,57,17,21.27,2
2026|07,PNHdefense-Website traffic-Search-2,Ad group 1,196283052145,enabled,panka natural health,817739186789,Exact,removed,Average,Above average,Above average,8,1,2,2,5,2,0.54,0
2026|07,Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,best functional doctor near me,596599231098,Broad,removed,,,,0,,,,2,0,0,0
2026|07,Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,best functional doctors near me,1079104736352,Broad,removed,,,,0,,,,43,2,4.52,0
2026|07,Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,functional doctor,6450933240,Broad,removed,Below average,Above average,Above average,7,-1,2,2,184,9,21.1424,0
2026|07,Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,functional doctor in my area,322898019488,Broad,paused,,,,0,,,,121,3,3.16,0
2026|07,Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,functional holistic medicine,571407136794,Broad,removed,,,,0,,,,30,0,0,0
2026|07,Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,functional integrative doctor,321395752246,Broad,paused,,,,0,,,,1,0,0,0
2026|07,Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,functional integrative medicine near me,807453047019,Broad,removed,Average,Below average,Above average,6,1,-1,2,179,4,7.26,0
2026|07,Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,functional medical,298906613248,Broad,removed,Below average,Above average,Above average,7,-1,2,2,100,1,1.21,0
2026|07,Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,functional medical clinic,302737127452,Broad,removed,,,,0,,,,78,4,13.3323,0
2026|07,Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,functional medical doctors,298829237476,Broad,removed,,,,0,,,,7,0,0,0
2026|07,Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,functional medical physician,298906613408,Broad,removed,,,,0,,,,131,6,10.1679,0
2026|07,Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,functional medicine,10957761,Broad,removed,Below average,Above average,Above average,7,-1,2,2,430,19,36.6189,5
2026|07,Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,functional medicine clinic near me,629327041832,Broad,removed,Average,Average,Above average,7,1,1,2,6,0,0,0
2026|07,Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,functional medicine doctors in my area,466935651506,Broad,paused,,,,0,,,,139,3,7.23,0
2026|07,Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,functional medicine doctors near me,300278964675,Broad,removed,Below average,Below average,Above average,5,-1,-1,2,244,9,19.1873,2
2026|07,Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,functional medicine near me,325505212743,Broad,removed,Below average,Average,Average,4,-1,1,1,253,11,19.7645,0
2026|07,Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,functional medicines,356292017233,Broad,removed,,,,0,,,,40,3,11.9083,0
2026|07,Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,integrated and functional medicine,1567976204040,Broad,removed,,,,0,,,,36,3,9.0968,0
2026|07,Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,integrated doctor,298575878765,Broad,removed,,,,0,,,,85,3,7.4,1
2026|07,Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,integrative doctor,671679616,Broad,removed,,,,0,,,,95,6,14.6886,0
2026|07,Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,integrative health near me,807046778385,Broad,removed,Below average,Below average,Average,3,-1,-1,1,83,2,3.49,1
2026|07,Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,integrative medicine doctors in my area,839460690233,Broad,paused,,,,0,,,,41,0,0,0
2026|07,Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,integrative medicine near me,312654897788,Broad,removed,Average,Below average,Above average,6,1,-1,2,176,13,31.1383,0
