Campaignname,CampaignID,AssetGroupID,AssetGroupName,AssetGroupStatus,AssetID,AssetFieldType,AssetType,AssetSource,AssetText,YouTubeVideoID,YouTubeVideoTitle,FullSizeImageURL
Leads-PMax-Video-1,24032465476,6730142616,A doctor who listens,Enabled,242745455189,Marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/16634715002387277664
Leads-PMax-Video-1,24032465476,6730142616,A doctor who listens,Enabled,242745905939,Marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/13345460838002406397
Leads-PMax-Video-1,24032465476,6730142616,A doctor who listens,Enabled,242745922064,Portrait marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/3400865750281009813
Leads-PMax-Video-1,24032465476,6730142616,A doctor who listens,Enabled,242816597869,Marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/17100174155193368568
Leads-PMax-Video-1,24032465476,6730142616,A doctor who listens,Enabled,242816640157,Square marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/10405900098705216532
Leads-PMax-Video-1,24032465476,6730142616,A doctor who listens,Enabled,242816655760,Square marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/15092868189937504284
Leads-PMax-Video-1,24032465476,6730142616,A doctor who listens,Enabled,242816677309,Portrait marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/354455239185987733
Leads-PMax-Video-1,24032465476,6730142616,A doctor who listens,Enabled,242817404932,Square marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/11659853226149509460
Leads-PMax-Video-1,24032465476,6730142616,A doctor who listens,Enabled,366880024621,Headline,Text,Advertiser,Free 10-Min Intro Call,,,
Leads-PMax-Video-1,24032465476,6730142616,A doctor who listens,Enabled,371740615967,Headline,Text,Advertiser,A Doctor Who Listens,,,
Leads-PMax-Video-1,24032465476,6730142616,A doctor who listens,Enabled,371740615973,Headline,Text,Advertiser,Two-Hour First Visits,,,
Leads-PMax-Video-1,24032465476,6730142616,A doctor who listens,Enabled,371913010077,Headline,Text,Advertiser,Find the Root Cause,,,
Leads-PMax-Video-1,24032465476,6730142616,A doctor who listens,Enabled,391852912559,Headline,Text,Advertiser,"Normal Labs, Still Unwell?",,,
Leads-PMax-Video-1,24032465476,6730142616,A doctor who listens,Enabled,391852912562,Headline,Text,Advertiser,"Naturopathic Care, Hopkins MN",,,
Leads-PMax-Video-1,24032465476,6730142616,A doctor who listens,Enabled,391852912565,Headline,Text,Advertiser,Whole-Family Natural Care,,,
