Date,Yearmonth,DayOfWeek,Campaignname,CampaignID,Campaignstatus,CampaignPrimaryStatusReasons,assetGroupId,assetGroupName,assetGroupStatus,ad_strength,ConversionTypeName,ConversionCategory,ConversionTrackerId,Conversions,ConversionValue,AllConversions,AllConversionValue,CrossDeviceConversions
2025-07-02,2025|07,3 Wednesday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,7154049482,3.0,3.0,3.0,3.0,0.0
2025-07-02,2025|07,3 Wednesday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,7154049485,4.0,4.0,4.0,4.0,0.0
2025-07-02,2025|07,3 Wednesday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,7154049488,154.02,154.02,156.02,156.02,0.0
2025-07-03,2025|07,4 Thursday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,7152843979,22.0,22.0,22.0,22.0,0.0
2025-07-03,2025|07,4 Thursday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,7154049482,1.0,1.0,1.0,1.0,0.0
2025-07-03,2025|07,4 Thursday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,7154049485,1.0,1.0,1.0,1.0,0.0
2025-07-03,2025|07,4 Thursday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,7154049488,52.98,52.98,55.98,55.98,0.0
2025-07-04,2025|07,5 Friday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,7152843979,170.5,170.5,170.5,170.5,0.0
2025-07-04,2025|07,5 Friday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,7154049482,10.0,10.0,10.0,10.0,0.0
2025-07-04,2025|07,5 Friday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,7154049485,5.0,5.0,5.0,5.0,0.0
2025-07-04,2025|07,5 Friday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,7154049488,289.25,289.25,293.25,293.25,0.0
2025-07-05,2025|07,6 Saturday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,7152843979,94.5,94.5,94.5,94.5,0.0
2025-07-05,2025|07,6 Saturday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,7154049482,2.0,2.0,2.0,2.0,0.0
2025-07-05,2025|07,6 Saturday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,7154049485,3.0,3.0,3.0,3.0,0.0
2025-07-05,2025|07,6 Saturday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,7154049488,145.0,145.0,155.0,155.0,0.0
