Date,Campaignname,CampaignID,AdvertisingChannelType,AdvertisingChannelSubType,Campaignstatus,CampaignServingStatus,CampaignBidStrategyStatus,Currencycode,Timezone,ConfiguredBudget,BudgetName,BudgetId,BudgetStatus,BudgetPeriod,IsBudgetExplicitlyShared,CampaignMobileBidModifier,Impressions,Clicks,Cost,Ctr,CPC,CPM,interactions,Conversions,CostPerConversion,ConversionRate,conversionsByConversionDate,allConversionsByConversionDate,EstimatedCrossDeviceConversions,ROAS,Invalidclicks,SearchImpressionShare,SearchImpressionShareRaw,SearchBudgetLostImpressionShare,SearchRankLostImpressionShare,SearchTopImpressionShare,SearchAbsoluteTopImpressionShare,SearchExactMatchImpressionShare,SearchRankLostTopImpressionShare,SearchRankLostAbsoluteTopImpressionShare,SearchBudgetLostTopImpressionShare,SearchBudgetLostAbsoluteTopImpressionShare,SearchClickShare,EligibleSearchClicks,LostSearchClicks,TotalAvailableImpressions,LostImpressions,LostImpressionsDueToBudget,LostImpressionsDueToRank,dailybudget,Budget,budgetUsedPortion
2025-07-12,Leads-Search-1,22767146837,Search,,enabled,eligible,UNAVAILABLE,USD,America/Chicago,15,Leads-Search-1,14735867458,Enabled,day,False,-15%,301,17,60.2447,0.0565,3.5438,200.1485,17,5,12.0489,0.2941,5,6,0,0.083,3,0.2955,0.2955,0,0.7045,0.22,0.1181,0.5676,0.78,0.88,0,0,0.2671,64,47,988,696,0,696,15,15,4.0163
2025-07-13,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,152,2,1.0961,0.0132,0.5481,7.2113,22,1,1.0961,0.5,7,12,0,0.9123,0,,0.0999,,,0,0,0.0999,0,0,0,0,0.0999,20,18,0,0,0,0,6,6,0.1827
2025-07-13,Leads-Search-1,22767146837,Search,,enabled,eligible,UNAVAILABLE,USD,America/Chicago,15,Leads-Search-1,14735867458,Enabled,day,False,-15%,389,23,90.2687,0.0591,3.9247,232.0533,23,5,18.0537,0.2174,5,10,0,0.0554,0,0.1797,0.1797,0.0137,0.8066,0.12,0.0999,0.5455,0.86,0.9,0.01,0.01,0.2105,109,86,2064,1693,28,1665,15,15,6.0179
2025-07-14,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,0,0,0,,,,0,0,,,5,5,0,,0,,,,,0,0,,0,0,0,0,,,,0,0,0,0,,,
2025-07-14,Leads-Search-1,22767146837,Search,,enabled,eligible,UNAVAILABLE,USD,America/Chicago,15,Leads-Search-1,14735867458,Enabled,day,False,-15%,477,23,76.716,0.0482,3.3355,160.8302,23,7,10.9594,0.3043,7,11,0,0.0912,0,0.1095,0.1095,0.4151,0.4754,0.1,0.0999,0.3733,0.5,0.55,0.41,0.41,0.1029,224,201,4156,3701,1725,1976,15,15,5.1144
2025-07-15,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,0,0,0,,,,0,0,,,3,5,0,,0,,,,,0,0,,0,0,0,0,,,,0,0,0,0,,,
2025-07-15,Leads-Search-1,22767146837,Search,,enabled,eligible,UNAVAILABLE,USD,America/Chicago,15,Leads-Search-1,14735867458,Enabled,day,False,-15%,445,25,69.6542,0.0562,2.7862,156.5262,25,15,4.6436,0.6,12,17,0,0.2153,6,0.0999,0.0999,0.4684,0.4351,0.1,0.0999,0.3846,0.45,0.51,0.47,0.47,0.1007,248,223,4054,3649,1899,1764,15,15,4.6436
2025-07-16,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,0,0,0,,,,0,0,,,0,3,0,,0,,,,,0,0,,0,0,0,0,,,,0,0,0,0,,,
2025-07-16,Leads-Search-1,22767146837,Search,,enabled,eligible,UNAVAILABLE,USD,America/Chicago,15,Leads-Search-1,14735867458,Enabled,day,False,-15%,443,31,68.5085,0.07,2.21,154.6467,31,7,9.7869,0.2258,9,21,0,0.1022,1,0.0999,0.0999,0,0.9001,0.1,0.0999,0.6098,0.9,0.9,0,0,0.1198,259,228,3914,3523,0,3523,15,15,4.5672
2025-07-17,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,0,0,0,,,,0,0,,,0,1,0,,0,,,,,0,0,,0,0,0,0,,,,0,0,0,0,,,
